id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
39651438,,32000.0,32000.0,32000.0, 60 months,10.49,687.65,B,B3,Public Service,10+ years,MORTGAGE,120000.0,Verified,Feb-2015,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=39651438,,debt_consolidation,Debt consolidation,919xx,CA,24.05,0.0,Oct-1981,735.0,739.0,0.0,,,20.0,0.0,39687.0,57.8,42.0,w,7181.91,7181.91,33676.2,33676.2,24818.09,8858.11,0.0,0.0,0.0,Mar-2019,687.65,Apr-2019,Mar-2019,794.0,790.0,0.0,,1.0,Individual,,,,0.0,0.0,457317.0,,,,,,,,,,,,82400.0,,,,6.0,26901.0,31079.0,71.2,0.0,0.0,154.0,165.0,1.0,1.0,2.0,9.0,,7.0,,0.0,6.0,11.0,8.0,20.0,7.0,14.0,31.0,11.0,20.0,0.0,0.0,0.0,4.0,100.0,28.6,0.0,0.0,556496.0,103647.0,64100.0,72197.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
16411620,,9600.0,9600.0,9600.0, 36 months,12.99,323.42,C,C1,,,RENT,21900.0,Verified,May-2014,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=16411620,,debt_consolidation,Debt consolidation,331xx,FL,10.03,0.0,Apr-2001,685.0,689.0,1.0,,118.0,13.0,1.0,4509.0,38.9,20.0,w,0.0,0.0,11643.9690419939,11643.97,9600.0,2043.97,0.0,0.0,0.0,Jun-2017,0.85,,Aug-2017,544.0,540.0,0.0,,1.0,Individual,,,,0.0,0.0,4509.0,,,,,,,,,,,,11600.0,,,,6.0,347.0,871.0,63.7,0.0,0.0,97.0,157.0,1.0,1.0,0.0,26.0,,1.0,,0.0,2.0,5.0,2.0,5.0,2.0,13.0,18.0,5.0,13.0,0.0,0.0,0.0,2.0,100.0,50.0,1.0,0.0,11600.0,4509.0,2400.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
45122316,,4000.0,4000.0,4000.0, 36 months,6.68,122.93,A,A3,System Analyst,4 years,MORTGAGE,83000.0,Not Verified,Apr-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=45122316,,major_purchase,Major purchase,333xx,FL,19.53,0.0,Sep-2003,780.0,784.0,0.0,,,16.0,0.0,1564.0,17.2,25.0,w,0.0,0.0,4368.8423653175,4368.84,4000.0,368.84,0.0,0.0,0.0,Mar-2017,1667.35,,Feb-2019,624.0,620.0,0.0,,1.0,Individual,,,,0.0,0.0,196017.0,,,,,,,,,,,,9100.0,,,,2.0,12251.0,5514.0,1.5,0.0,0.0,139.0,72.0,12.0,10.0,2.0,12.0,,,,0.0,1.0,2.0,3.0,8.0,14.0,4.0,9.0,2.0,16.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,222616.0,64253.0,5600.0,76154.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
125356772,,6025.0,6025.0,6025.0, 36 months,10.91,197.0,B,B4,Admin assistant,10+ years,RENT,52000.0,Not Verified,Dec-2017,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=125356772,,debt_consolidation,Debt consolidation,021xx,MA,9.16,1.0,Jun-2005,740.0,744.0,1.0,15.0,,11.0,0.0,2706.0,12.8,25.0,w,0.0,0.0,6542.4889260448,6542.49,6025.0,517.49,0.0,0.0,0.0,Oct-2018,4762.18,,Oct-2018,744.0,740.0,0.0,,1.0,Individual,,,,0.0,0.0,5559.0,0.0,1.0,0.0,0.0,29.0,2853.0,26.0,0.0,1.0,2071.0,17.0,21100.0,0.0,0.0,1.0,1.0,505.0,8447.0,23.2,0.0,0.0,122.0,150.0,13.0,13.0,0.0,13.0,,4.0,15.0,0.0,2.0,4.0,3.0,9.0,4.0,10.0,21.0,4.0,11.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,32227.0,5559.0,11000.0,11127.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
128490686,,25000.0,25000.0,25000.0, 60 months,26.3,752.96,E,E5,Coordinator ,10+ years,OWN,65000.0,Verified,Feb-2018,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=128490686,,debt_consolidation,Debt consolidation,926xx,CA,36.26,0.0,Jul-1999,715.0,719.0,1.0,37.0,,19.0,0.0,49461.0,24.7,33.0,w,21954.14,21954.14,9697.16,9697.16,3045.86,6651.3,0.0,0.0,0.0,Mar-2019,752.96,Apr-2019,Mar-2019,659.0,655.0,0.0,,1.0,Individual,,,,0.0,0.0,97647.0,0.0,2.0,0.0,2.0,19.0,48186.0,82.0,3.0,8.0,14473.0,35.0,191500.0,2.0,1.0,3.0,10.0,5744.0,130871.0,26.3,0.0,0.0,142.0,223.0,7.0,7.0,0.0,8.0,38.0,2.0,37.0,0.0,7.0,10.0,10.0,15.0,7.0,17.0,26.0,10.0,19.0,0.0,0.0,0.0,3.0,78.8,10.0,0.0,0.0,257219.0,97647.0,179400.0,65719.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
88273234,,20000.0,20000.0,20000.0, 36 months,9.49,640.57,B,B2,Manager,10+ years,MORTGAGE,100000.0,Not Verified,Aug-2016,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=88273234,,debt_consolidation,Debt consolidation,891xx,NV,16.43,1.0,Aug-1990,695.0,699.0,0.0,15.0,,15.0,0.0,20440.0,56.3,32.0,w,0.0,0.0,21515.0305606793,21515.03,20000.0,1515.03,0.0,0.0,0.0,Sep-2017,2838.73,,Mar-2019,809.0,805.0,0.0,66.0,1.0,Individual,,,,0.0,0.0,296948.0,1.0,2.0,0.0,2.0,17.0,13255.0,44.0,1.0,5.0,6647.0,51.0,36300.0,0.0,4.0,1.0,7.0,19797.0,6821.0,71.5,0.0,0.0,36.0,312.0,4.0,4.0,3.0,13.0,15.0,4.0,15.0,0.0,4.0,6.0,5.0,13.0,3.0,12.0,25.0,6.0,15.0,0.0,0.0,0.0,1.0,77.4,60.0,0.0,0.0,322295.0,33695.0,23900.0,29995.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
46824999,,1000.0,1000.0,1000.0, 36 months,8.18,31.42,B,B1,,,RENT,23000.0,Verified,Apr-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=46824999,,debt_consolidation,Debt consolidation,436xx,OH,16.34,1.0,Sep-1986,680.0,684.0,0.0,20.0,,6.0,0.0,3237.0,77.1,38.0,w,0.0,0.0,1145.839702166,1145.84,1000.0,130.84,15.0,0.0,0.0,Jun-2018,0.17,,May-2018,649.0,645.0,0.0,20.0,1.0,Individual,,,,0.0,0.0,7252.0,,,,,,,,,,,,4200.0,,,,3.0,1209.0,599.0,64.8,0.0,0.0,113.0,343.0,38.0,15.0,4.0,91.0,,23.0,,1.0,2.0,3.0,3.0,17.0,8.0,4.0,26.0,3.0,6.0,0.0,0.0,1.0,0.0,97.4,33.3,0.0,0.0,9979.0,7252.0,1700.0,5779.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
88725013,,24575.0,24575.0,24575.0, 60 months,14.49,578.08,C,C4,Manager,5 years,RENT,120000.0,Source Verified,Aug-2016,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=88725013,,credit_card,Credit card refinancing,940xx,CA,17.4,0.0,Feb-2007,680.0,684.0,0.0,73.0,,14.0,0.0,18320.0,80.0,21.0,w,0.0,0.0,28148.211615743,28148.21,24575.0,3573.21,0.0,0.0,0.0,Jul-2018,470.02,,Mar-2019,714.0,710.0,0.0,73.0,1.0,Individual,,,,0.0,0.0,54296.0,0.0,4.0,3.0,3.0,11.0,35976.0,75.0,0.0,0.0,4912.0,77.0,22900.0,4.0,0.0,6.0,3.0,4525.0,3649.0,78.9,0.0,0.0,69.0,114.0,32.0,11.0,0.0,33.0,,11.0,73.0,1.0,5.0,8.0,5.0,5.0,6.0,10.0,15.0,8.0,14.0,0.0,0.0,0.0,3.0,95.2,80.0,0.0,0.0,70820.0,54296.0,17300.0,47920.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
88939475,,7000.0,7000.0,7000.0, 36 months,6.99,216.11,A,A2,Casting,5 years,RENT,41000.0,Source Verified,Oct-2016,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=88939475,,house,Home buying,440xx,OH,16.54,0.0,Mar-2006,755.0,759.0,0.0,,,13.0,0.0,6140.0,15.4,22.0,f,0.0,0.0,7532.4153426685,7532.42,7000.0,532.42,0.0,0.0,0.0,Feb-2018,4293.49,,Mar-2019,789.0,785.0,0.0,,1.0,Individual,,,,0.0,0.0,23503.0,1.0,2.0,1.0,1.0,11.0,17363.0,75.0,3.0,4.0,4742.0,37.0,39800.0,0.0,0.0,0.0,5.0,1808.0,22565.0,18.2,0.0,0.0,127.0,124.0,3.0,3.0,0.0,3.0,,17.0,,0.0,3.0,4.0,6.0,7.0,6.0,11.0,16.0,4.0,13.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,63017.0,23503.0,27600.0,23217.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
109655666,,16000.0,16000.0,16000.0, 36 months,7.07,494.55,A,A2,Equipment operator ,8 years,MORTGAGE,50000.0,Not Verified,Jul-2017,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=109655666,,debt_consolidation,Debt consolidation,211xx,MD,22.19,0.0,Sep-2005,775.0,779.0,0.0,,,7.0,0.0,5180.0,20.3,9.0,w,0.0,0.0,17107.6937972552,17107.69,16000.0,1107.69,0.0,0.0,0.0,Sep-2018,10684.82,,Mar-2019,759.0,755.0,0.0,,1.0,Individual,,,,0.0,0.0,113126.0,0.0,2.0,0.0,1.0,17.0,11121.0,31.0,0.0,1.0,3286.0,26.0,25500.0,0.0,0.0,0.0,2.0,16161.0,20320.0,20.3,0.0,0.0,61.0,142.0,22.0,17.0,1.0,22.0,,,,0.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,7.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,169707.0,16301.0,25500.0,36200.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
