Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
15000.0,2015-10-29,debt_consolidation,,54.58%,761xx,TX,< 1 year,0.0
10000.0,2017-10-28,Credit card refinancing,605.0,28.71%,076xx,NJ,,0.0
10000.0,2018-03-09,Debt consolidation,,58.06%,087xx,NJ,< 1 year,0.0
7000.0,2016-10-18,Debt consolidation,571.0,6.66%,731xx,OK,< 1 year,0.0
5000.0,2017-02-07,other,,2.23%,537xx,WI,< 1 year,0.0
20000.0,2018-01-14,Debt consolidation,626.0,32.17%,327xx,FL,< 1 year,0.0
40000.0,2017-08-09,other,,12.9%,730xx,OK,< 1 year,0.0
15000.0,2016-02-12,debt_consolidation,,1.43%,815xx,CO,,0.0
6000.0,2018-02-28,Other,,14.28%,174xx,PA,< 1 year,0.0
20000.0,2017-07-06,credit_card,,35.28%,207xx,MD,5 years,0.0
35000.0,2016-07-01,debt_consolidation,,39.45%,840xx,UT,< 1 year,0.0
35000.0,2015-06-25,house,,-1%,900xx,NY,< 1 year,0.0
15000.0,2013-09-04,debt_consolidation,673.0,34.11%,030xx,NH,< 1 year,0.0
1000.0,2018-12-15,Other,,3.6%,405xx,KY,< 1 year,0.0
15000.0,2014-02-19,other,,-1%,633xx,MO,< 1 year,0.0
5000.0,2018-03-23,Other,,0%,140xx,NY,< 1 year,0.0
100000.0,2017-03-22,Business Loan,,-1%,926xx,CA,< 1 year,0.0
10000.0,2017-02-16,Debt consolidation,665.0,24.61%,190xx,PA,< 1 year,0.0
9000.0,2018-04-17,Debt consolidation,,20.27%,330xx,FL,< 1 year,0.0
30000.0,2018-12-29,Debt consolidation,,44.71%,161xx,PA,< 1 year,0.0
19225.0,2016-11-19,credit_card,,-1%,800xx,CO,5 years,0.0
2000.0,2016-03-14,moving,601.0,0.64%,850xx,AZ,< 1 year,0.0
15000.0,2014-04-12,debt_consolidation,664.0,22.5%,535xx,WI,< 1 year,0.0
5000.0,2017-12-27,Major purchase,651.0,12.84%,923xx,CA,< 1 year,0.0
7000.0,2017-10-12,Major purchase,668.0,13.21%,152xx,PA,10+ years,0.0
4150.0,2016-09-05,major_purchase,,3156.5%,927xx,CA,< 1 year,0.0
5000.0,2017-05-09,debt_consolidation,,45.9%,800xx,CO,< 1 year,0.0
3000.0,2018-07-05,Other,,34.63%,344xx,FL,< 1 year,0.0
6000.0,2017-08-07,debt_consolidation,,14.16%,454xx,OH,< 1 year,0.0
10000.0,2018-02-08,Other,744.0,0.47%,782xx,TX,< 1 year,0.0
2000.0,2015-11-23,other,,3.17%,797xx,TX,< 1 year,0.0
6000.0,2015-10-26,debt_consolidation,,2.58%,606xx,IL,< 1 year,0.0
2000.0,2015-08-27,debt_consolidation,,2.92%,122xx,NY,< 1 year,0.0
15000.0,2018-02-16,Debt consolidation,,19.81%,112xx,NY,< 1 year,0.0
1000.0,2017-09-15,small_business,,0%,021xx,MA,,0.0
3000.0,2015-12-02,debt_consolidation,,10.35%,600xx,IL,5 years,0.0
5000.0,2018-07-14,Credit card refinancing,,76.57%,988xx,WA,< 1 year,0.0
10100.0,2018-01-27,Car financing,,100%,383xx,TN,< 1 year,0.0
5000.0,2014-12-12,debt_consolidation,627.0,4.33%,212xx,MD,5 years,0.0
25000.0,2013-12-05,other,584.0,16.68%,770xx,TX,< 1 year,0.0
20000.0,2018-03-26,Debt consolidation,667.0,111.82%,300xx,GA,< 1 year,0.0
15000.0,2018-09-07,Debt consolidation,,15.36%,100xx,NY,< 1 year,0.0
11000.0,2017-04-02,Debt consolidation,617.0,51.56%,494xx,MI,< 1 year,0.0
4000.0,2018-10-05,Home improvement,,17.17%,483xx,MI,< 1 year,0.0
40000.0,2016-03-08,debt_consolidation,,34.34%,604xx,IL,< 1 year,0.0
17475.0,2012-07-02,debt_consolidation,629.0,11.06%,300xx,GA,4 years,0.0
2000.0,2018-05-30,Other,,16.01%,286xx,NC,< 1 year,0.0
2000.0,2014-07-18,other,599.0,13.72%,402xx,KY,< 1 year,0.0
20000.0,2016-04-19,other,670.0,15.73%,945xx,CA,< 1 year,0.0
4000.0,2017-06-03,debt_consolidation,,5.12%,333xx,FL,< 1 year,0.0
10000.0,2016-11-27,debt_consolidation,,-1%,107xx,NY,< 1 year,0.0
10000.0,2018-06-15,Debt consolidation,,20.19%,723xx,AR,< 1 year,0.0
1000.0,2018-12-07,Car financing,,5.01%,075xx,NJ,< 1 year,0.0
20000.0,2018-02-09,Debt consolidation,,18.22%,100xx,NY,< 1 year,0.0
35000.0,2014-03-28,Credit card refinancing,657.0,8.81%,076xx,NJ,9 years,0.0
10000.0,2010-10-06,small_business,676.0,26.92%,900xx,CA,< 1 year,0.0
2000.0,2017-01-31,other,,-1%,922xx,CA,,0.0
20000.0,2018-09-04,Credit card refinancing,,16.82%,606xx,IL,< 1 year,0.0
35000.0,2018-01-13,Debt consolidation,663.0,42.32%,207xx,MD,< 1 year,0.0
8000.0,2016-08-09,debt_consolidation,,10.73%,770xx,TX,< 1 year,0.0
5000.0,2018-09-05,Other,,49.54%,112xx,NY,< 1 year,0.0
16000.0,2018-10-23,Debt consolidation,,28.75%,937xx,CA,< 1 year,0.0
40000.0,2018-12-09,Debt consolidation,,7.74%,794xx,TX,< 1 year,0.0
6500.0,2015-09-07,debt_consolidation,,14.12%,122xx,NY,< 1 year,0.0
5000.0,2018-10-16,Debt consolidation,,13.88%,922xx,CA,< 1 year,0.0
10000.0,2017-05-09,other,,13.55%,305xx,GA,< 1 year,0.0
6000.0,2015-07-29,debt_consolidation,,61.23%,654xx,MO,< 1 year,0.0
4000.0,2011-11-19,debt_consolidation,639.0,6%,294xx,SC,< 1 year,0.0
1000.0,2014-04-04,major_purchase,685.0,1.46%,990xx,WA,< 1 year,0.0
10000.0,2018-10-30,Medical expenses,,4.52%,894xx,NV,< 1 year,0.0
8000.0,2014-05-31,other,515.0,16.91%,014xx,MA,< 1 year,0.0
21000.0,2015-03-04,debt_consolidation,809.0,52.02%,981xx,WA,< 1 year,0.0
4500.0,2017-06-15,debt_consolidation,,23.23%,761xx,TX,1 year,0.0
5000.0,2018-03-29,Credit card refinancing,,14.53%,070xx,NJ,< 1 year,0.0
25000.0,2016-11-09,Home improvement,671.0,22.04%,856xx,AZ,< 1 year,0.0
10000.0,2018-01-07,Other,613.0,0%,725xx,AR,< 1 year,0.0
25000.0,2018-04-06,Debt consolidation,,31.52%,974xx,OR,< 1 year,0.0
35000.0,2013-06-12,debt_consolidation,656.0,13.38%,925xx,CA,< 1 year,0.0
35000.0,2017-07-30,car,,14.69%,770xx,TX,5 years,0.0
10000.0,2013-09-21,debt_consolidation,678.0,28.24%,030xx,NH,< 1 year,0.0
1000.0,2018-12-07,Other,,0%,843xx,UT,3 years,0.0
15000.0,2015-08-10,debt_consolidation,,101.96%,215xx,MD,< 1 year,0.0
40000.0,2017-01-21,Credit card refinancing,690.0,52.1%,370xx,TN,< 1 year,0.0
8000.0,2018-10-19,Debt consolidation,,4.99%,182xx,PA,< 1 year,0.0
4600.0,2018-07-12,Other,,30.45%,775xx,TX,< 1 year,0.0
35000.0,2014-04-25,debt_consolidation,557.0,2.15%,891xx,NV,< 1 year,0.0
20000.0,2018-01-04,Debt consolidation,737.0,22.74%,062xx,CT,< 1 year,0.0
10000.0,2018-07-15,Credit card refinancing,,40.61%,891xx,NV,< 1 year,0.0
